,center,focus,best_FDC,size,depth
14728,Andrea Di Casa,Luca Micheletti,0.8238238609128196,12,2
14729,Paolo Mazzatelli,Luca Micheletti,0.8238238609128196,12,2
14730,Paulo Silvino,Caetano Veloso,-1.3446134080730996,39,3
14731,Ashley Nicole Green,Jenny Allford,3.6836473476335176,57,3
14732,D.Y. Sao,Jenny Allford,3.6836473476335176,57,3
14733,Camille Montgomery,Jenny Allford,3.6836473476335176,57,3
14734,David A. Lockhart,Jenny Allford,3.6836473476335176,57,3
14735,Rick Mora,Jenny Allford,3.6836473476335176,57,3
14736,John Scuderi,John Scuderi,3.7668593902843583,20,1
14737,Kyle Clarke,John Scuderi,3.7668593902843583,20,2
14738,Nicole Stark,John Scuderi,3.7668593902843583,20,2
14739,Stormi Maya,John Scuderi,3.7668593902843583,20,2
14740,Tyrone Tann,Gabriel Damon,-4.499711889185126,11,2
14741,Germán Robles,Sherlyn,0.8238238609128196,12,2
14742,Yordi Landeta,Sherlyn,0.8238238609128196,12,2
14743,Yurem Rojas,Sherlyn,0.8238238609128196,12,2
14744,Marlene Loçasso,Denise Weinberg,1.6244624751114962,40,3
14745,Roberta Gretchen,Denise Weinberg,1.6244624751114962,40,3
14746,Thalia Bombinha,Denise Weinberg,1.6244624751114962,40,3
14747,Friederike Serr,Simson Bubbel,-1.0155733449443922,7,2
14748,Saskia Geißler,Simson Bubbel,-1.0155733449443922,7,2
14749,Sofia Exss,Simson Bubbel,-1.0155733449443922,7,2
14750,Arun Bandyopadhyay,Pooja Bose,-1.0155733449443922,7,2
14751,Hiran Chatterjee,Pooja Bose,-1.0155733449443922,7,2
14752,Rajat Ganguly,Pooja Bose,-1.0155733449443922,7,2
14753,Abhishek Krishnan,Shriya Pilgaonkar,-1.0155733449443922,7,2
14754,Nida Chakraborty,Shriya Pilgaonkar,-1.0155733449443922,7,2
14755,Samar Virmani,Shriya Pilgaonkar,-1.0155733449443922,7,2
14756,Michelle Hou-Pere,Geoff Dolan,0.4559444197413772,11,2
14757,Pete Smith,Geoff Dolan,0.4559444197413772,11,2
14758,Sarah McLeod,Geoff Dolan,0.4559444197413772,11,2
14759,Catherine Franklin,Jade Michael LaFont,-3.064825402276824,13,2
14760,Rachel Wise,Shawn C. Phillips,17.544336875654817,88,4
14761,Reuben Rox,Jade Michael LaFont,-3.064825402276824,13,2
14762,Teresa Reed,Shawn C. Phillips,17.544336875654817,88,4
14763,Krystal Akin,Jade Michael LaFont,-3.064825402276824,13,2
14764,Zarganar,Michael Mittermeier,-1.3834527861158346,6,2
14765,Laurent Legeay,Nicolas Abraham,-0.6476939037729498,8,2
14766,Andreas af Enehjelm,Angela Kovács,3.004402045353594,39,3
14767,Jarmo Mäkinen,Angela Kovács,3.004402045353594,39,3
14768,Niklas Ulfvarson,Angela Kovács,3.004402045353594,39,3
14769,Tommy Vallikari,Angela Kovács,3.004402045353594,39,3
14770,Clothilde Joulin,Taraneh Alidoosti,8.872157465207938,54,3
14771,Dariush Asad Zadeh,Taraneh Alidoosti,8.872157465207938,54,3
14772,Javad Taheri,Taraneh Alidoosti,8.872157465207938,54,3
14773,Mahnaz Mohamadi,Taraneh Alidoosti,8.872157465207938,54,3
14774,Troy Glasgow,Chris Mason,-4.5363431669625935,9,2
14775,James Murton,Ben Cross,24.809843447788662,311,5
14776,Olwen Davies,Ben Cross,24.809843447788662,311,5
14777,Flawless Sabrina,Holly Woodlawn,-3.9390724135946233,23,3
14778,Vaginal Davis,Holly Woodlawn,-3.9390724135946233,25,3
14779,Zackary Drucker,Holly Woodlawn,-3.9390724135946233,23,3
14780,Cata Munar,Ernesto Alterio,22.2108559435723,173,4
14781,Eva Losada,Ernesto Alterio,22.2108559435723,173,4
14782,Núria de Córdoba,Ernesto Alterio,22.2108559435723,173,4
14783,Sonia Monroy,Ernesto Alterio,22.2108559435723,173,4
14784,Elmis Castillo,Jorge Perugorría,19.64126371419109,116,4
14785,Jaime Newball,Jorge Perugorría,19.64126371419109,116,4
14786,Maritza Vernaza,Jorge Perugorría,19.64126371419109,116,4
14787,André Forastieri,Paulo Miklos,1.8824480829505332,35,3
14788,Carlos Eduardo Miranda,Paulo Miklos,1.8824480829505332,35,3
14789,Dado Villa-Lobos,Paulo Miklos,1.8824480829505332,35,3
14790,Jojo Alejar,Judy Ann Santos,31.79057665116977,122,3
14791,Mike Monserrat,Judy Ann Santos,31.79057665116977,122,3
14792,Andrea Noceti,Paola Baldion,-1.6403409819263857,33,3
14793,Juliana Botero,Paola Baldion,-1.6403409819263857,33,3
